rating	effectiveness	benefitsreview
6	moderately effective	after skin finally healed - treatment areas were improved.
9	highly effective	skin irritation and dandruff were eliminated after third use.
6	marginally effective	my skin looked a little better but no significant improvement in wrinkles.  i  called the company and they said i should try it every second night.  i did that for a few months and did not get any result.  no peeling and and still no significant difference in my wrinkles
8	considerably effective	helped with anxiety.
10	highly effective	the treatment benefits were the initial complaint of monthly cycle depression and nervousness went from occurring for a ten to fourteen day period down to a two day  time frame.  monthly menstruation also occurred in a more timely fashion - every 28 days.
8	considerably effective	after a couple of years of propecia taking, i stopped loosing hair on the top of my head, moreover, it seems that hair got a little bit more dense, although i am not sure if this is just a feeling or a fact. it didnt improve my hairline in the temples though.
8	moderately effective	pain reduction at a controlled rate over 72 hours
1	moderately effective	it lowered my b/p
1	moderately effective	the drug stabilized my rapid cycling.  it facilitated my reducing alcohol consumption to decrease my hypomanic symptoms.
2	ineffective	i sometimes wake up refreshed although with xyrem i only sleep for about 5 hrs every night
9	considerably effective	the treatment benefit was that my fever went down. my tonsilitis was also cured. after seven days or even less i was already feeling better. one benefit is that the cure can be taken orally with no downtime. it did not cause any side effects but sped up my recovery.
